Time ns, Temperature
1583584838891905102, 1741
1583584839891926483, 1743
1583584840891867843, 1731
1583584841891902372, 1744
1583584842891900642, 1763
1583584843891910142, 1744
1583584844891915258, 1718
1583584845892914441, 1751
1583584846892952663, 1743
1583584847892923582, 1729
1583584848892911748, 1744
1583584849892935491, 1747
1583584850892917899, 1737
1583584851892948146, 1743
1583584852891924680, 1729
1583584853892959220, 1755
1583584854892963787, 1739
1583584855892969853, 1745
1583584856892950776, 1740
1583584857892978139, 1762
1583584858893029971, 1744
1583584859892983659, 1744
1583584860892991679, 1735
1583584861893049879, 1744
1583584862893002273, 1753
1583584863893039866, 1744
1583584864892981804, 1725
1583584865893053106, 1744
1583584866893036357, 1739
1583584867893079622, 1733
1583584868893067043, 1730
1583584869893089225, 1744
1583584870893035671, 1741
1583584871893053530, 1755
1583584872893066814, 1754
1583584873893109457, 1730
1583584874893040580, 1744
1583584875893105254, 1739
1583584876893106489, 1738
1583584877893079094, 1757
1583584878893085087, 1724
1583584879893129386, 1722
1583584880893118544, 1751
1583584881893138138, 1731
1583584882893112675, 1733
1583584883893122289, 1744
1583584884892162308, 1744
1583584885893158199, 1728
1583584886893133934, 1744
1583584887893166327, 1727
1583584888893105895, 1717
1583584889893170246, 1728
1583584890893172568, 1734
1583584891893181523, 1747
1583584892893155624, 1744
1583584893893219931, 1724
1583584894893196960, 1744
1583584895893181055, 1727
1583584896893214935, 1754
1583584897893211054, 1714
1583584898893221831, 1729
1583584899893220360, 1737
1583584900893243853, 1743
1583584901893195151, 1728
1583584902893198957, 1729
1583584903893234550, 1728
1583584904894243531, 1732
1583584905894247923, 1737
1583584906894251539, 1747
1583584907894256347, 1731
1583584908894260147, 1753
1583584909894259842, 1745
1583584910894274305, 1743
1583584911894275879, 1747
1583584912894290384, 1727
1583584913894298096, 1744
1583584914894260948, 1739
1583584915894310971, 1747
1583584916892287775, 1734
1583584917894301055, 1734
1583584918894318529, 1739
1583584919894317321, 1713
1583584920894256178, 1750
1583584921894287599, 1745
1583584922894284347, 1746
1583584923894306175, 1751
1583584924894344049, 1729
1583584925894360190, 1739
1583584926894343808, 1741
1583584927894311328, 1749
1583584928894291049, 1732
1583584929894321612, 1738
1583584930894324108, 1743
1583584931894325007, 1707
1583584932894328946, 1740
1583584933894395308, 1743
1583584934894352444, 1741
1583584935894385211, 1723
1583584936894382881, 1750
1583584937894354166, 1734
1583584938894377584, 1747
1583584939894398264, 1743
1583584940894414800, 1727
1583584941894409832, 1744
1583584942894408219, 1739
1583584943894441776, 1713
1583584944894423638, 1727
1583584945894427951, 1734
1583584946894431242, 1747
1583584947894436063, 1721
1583584948892427704, 1722
1583584949894405102, 1742
1583584950894386404, 1717
1583584951894412605, 1726
1583584952894451631, 1742
1583584953894467051, 1742
1583584954894502441, 1730
1583584955894426066, 1744
1583584956894428078, 1723
1583584957894488847, 1746
1583584958894539018, 1741
1583584959894522044, 1719
1583584960894562245, 1744
1583584961894381961, 1731
1583584962894470807, 1742
1583584963894457188, 1721
1583584964895476777, 1742
1583584965895469069, 1739
1583584966895508969, 1723
1583584967895511728, 1741
1583584968895462827, 1741
1583584969895483808, 1734
1583584970895477095, 1733
1583584971895529311, 1758
1583584972895512116, 1741
1583584973895542784, 1731
1583584974895544888, 1717
1583584975895543855, 1759
1583584976895546661, 1735
1583584977895553124, 1737
1583584978895562521, 1731
1583584979895525088, 1744
1583584980892540618, 1723
1583584981895534794, 1723
1583584982895588799, 1740
1583584983895538328, 1735
1583584984895518428, 1737
1583584985895587309, 1728
1583584986895598622, 1728
1583584987895595825, 1731
1583584988895596090, 1717
1583584989895604881, 1735
1583584990895611732, 1724
1583584991895609629, 1724
1583584992895589701, 1717
1583584993895615975, 1730
1583584994895617397, 1721
1583584995895625930, 1734
1583584996895630370, 1730
1583584997895602780, 1744
1583584998895612590, 1741
1583584999895604205, 1731
1583585000895582785, 1715
1583585001895609325, 1731
1583585002895611690, 1722
1583585003895657884, 1739
1583585004895655996, 1734
1583585005895671557, 1740
1583585006895661260, 1711
1583585007895628936, 1712
1583585008895648717, 1728
1583585009895675759, 1727
1583585010895608325, 1739
1583585011895676546, 1731
1583585012892684349, 1726
1583585013895699821, 1725
1583585014895678190, 1718
1583585015895703842, 1731
1583585016895672918, 1712
1583585017895697817, 1731
1583585018895706997, 1721
1583585019895719765, 1713
1583585020895706793, 1738
1583585021895639425, 1742
1583585022895690983, 1748
1583585023895657945, 1722
1583585024896700338, 1703
1583585025896657117, 1712
1583585026896727039, 1723
1583585027896733459, 1731
1583585028896749721, 1725
1583585029896736097, 1729
1583585030896721257, 1719
1583585031896712012, 1725
1583585032896715151, 1710
1583585033896713601, 1728
1583585034896769010, 1702
1583585035896718725, 1740
1583585036896739477, 1735
1583585037896778463, 1725
1583585038896774736, 1726
1583585039896776087, 1740
1583585040896765445, 1739
1583585041896791151, 1723
1583585042896788270, 1727
1583585043896784241, 1740
1583585044892725597, 1719
1583585045896754480, 1739
1583585046896753062, 1741
1583585047896800832, 1731
1583585048896789715, 1728
1583585049896806590, 1734
1583585050896767851, 1729
1583585051896779615, 1746
1583585052896796829, 1726
1583585053896815751, 1725
1583585054896818418, 1712
1583585055896777131, 1728
1583585056896789318, 1724
1583585057896825860, 1715
1583585058896830830, 1739
1583585059896834612, 1723
1583585060896841095, 1713
1583585061896805289, 1727
1583585062896845203, 1729
1583585063896805592, 1733
1583585064896866570, 1735
1583585065896847743, 1735
1583585066896858103, 1710
1583585067896854691, 1734
1583585068896839986, 1712
1583585069896860738, 1723
1583585070896879164, 1712
1583585071896865462, 1728
1583585072896873300, 1722
1583585073896870940, 1727
1583585074896858818, 1722
1583585075896884565, 1719
1583585076892889678, 1731
1583585077896898605, 1724
1583585078896870489, 1725
1583585079896897330, 1732
1583585080896899087, 1721
1583585081896900161, 1726
1583585082896900974, 1723
1583585083897891133, 1731
1583585084897905392, 1726
1583585085897904519, 1728
1583585086897912145, 1737
1583585087897915639, 1738
1583585088897913726, 1701
1583585089897930568, 1735
1583585090897894964, 1729
1583585091897941313, 1741
1583585092897931149, 1725
1583585093897931621, 1728
1583585094897902744, 1695
1583585095897942023, 1723
1583585096897934060, 1726
1583585097897947958, 1732
1583585098897941284, 1721
1583585099897943297, 1734
1583585100897920746, 1723
1583585101897946854, 1737
1583585102897959587, 1729
1583585103897953548, 1753
1583585104897960657, 1707
1583585105897955597, 1744
1583585106897947379, 1727
1583585107897963544, 1723
1583585108892922431, 1742
1583585109897972708, 1712
1583585110897991176, 1712
1583585111897989100, 1726
1583585112897991889, 1714
1583585113897976836, 1734
1583585114897911124, 1713
